feature,corr_value
feature_377,0.021827910104065467
feature_363,0.021696929162372168
feature_294,0.021151405529013997
feature_823,0.020911823759685876
feature_819,0.02075686228934574
feature_1094,0.020681086589687016
feature_72,0.020577681609831918
feature_283,0.020492937898054914
feature_282,0.02000997372668917
feature_366,0.019985321835293116
feature_829,0.019977167446269383
feature_1034,0.01960355383164744
feature_816,0.01956632113947831
feature_821,0.019565515896477047
feature_86,0.019440748049384903
feature_355,0.019295546757554394
feature_481,0.01921825292029084
feature_1087,0.019071786119570965
feature_386,0.018345718326080347
feature_357,0.01756635195699459
feature_383,0.01715771760307568
feature_195,0.01699010163607799
feature_99,0.016927752354707545
feature_381,0.016856423824988715
feature_79,0.01668178588069033
feature_757,0.016596981215721094
feature_295,0.016591869133464863
feature_1193,0.016584161120782672
feature_364,0.016304586158534952
feature_182,0.01625765327550286
feature_1131,0.016222627449512146
feature_1133,0.016126336427494257
feature_548,0.016074827295151764
feature_1132,0.015905439610521994
feature_361,0.015740386858821457
feature_359,0.015737603291396937
feature_1120,0.01560127641733993
feature_1142,0.015438281889210032
feature_13,0.015292255213017388
feature_85,0.015283543035414196
feature_356,0.015257011976757608
feature_184,0.015208358724376253
feature_1129,0.015199256140703226
feature_362,0.015132858866113846
feature_1110,0.0150776273166796
feature_482,0.01505378677030329
feature_1109,0.014968597693806618
feature_379,0.014939935927703842
feature_358,0.014938929662710548
feature_1130,0.014933145123387634
feature_400,0.014805543741084596
feature_83,0.014758106088069281
feature_1134,0.014757720645386404
feature_69,0.014743021039433353
feature_303,0.014632043139510517
feature_52,0.014598719567972873
feature_286,0.014462673947818958
feature_218,0.014450218724472703
feature_328,0.01422165699384979
feature_1139,0.014179812216038014
feature_1202,0.014055062122210131
feature_380,0.014001412760526289
feature_466,0.013685807237675294
feature_51,0.013637442488349638
feature_4,0.01361069508896941
feature_484,0.013599150391096632
feature_1141,0.013537379627633852
feature_298,0.013377288944535909
feature_62,0.013376080844413621
feature_93,0.013367147282349065
feature_34,0.01331423554794235
feature_463,0.013200862335460686
feature_6,0.013174973392133728
feature_1135,0.013166031971024254
feature_1137,0.013145357543092488
feature_290,0.013115251949104213
